,0
0,2.9585863688479193
1,3.01827158340619
2,2.8760279324205853
3,2.591441390024204
4,3.0293592547343673
5,3.7169468475502354
6,3.858699109191789
7,3.5094605825451723
8,3.2329079542747854
9,3.3463276420324513
10,3.549681988458611
11,2.964285207595726
12,2.450898692692727
13,2.243866915654876
14,2.6927139515984444
15,3.1397988537635735
16,2.5096260080090182
17,1.7899661362823702
18,2.024475800325863
19,2.3089676313742906
20,2.23057817776083
21,2.160639602447171
22,
23,3.2673766237562267
24,
25,2.109128159645734
26,2.044424232803205
27,2.328870320689936
28,
29,zElArv6m
30,
31,2.2135248800200698
32,1.2053677195713732
33,0.4315400652715147
34,0.363341736694371
35,1.2044851388082447
36,1.7123046586862531
37,2.1188746801522873
38,2.0488742575961854
39,2.2582281835820175
40,1.8040900291268713
41,1.712769778563122
42,1.5265205918047922
43,1.579801886880242
44,1.5702882223606818
45,
46,2.762967688371456
47,3.05176885542179
48,
49,3.7465795770618495
50,4.041459681574198
51,4.082092059949642
52,3.8961246500218567
53,4.053811244672309
54,4.519843120578402
55,4.358234760400412
56,3.558998091837259
57,3.143208385031304
58,
59,zElArv6m
60,4.233785954794653
61,4.380537814767831
62,4.41842311232874
63,4.5379993518861585
64,
65,4.578089307600746
66,4.288257139816147
67,
68,
69,2.896981984861295
70,
71,3.6061083398144635
72,4.481096131026731
73,5.13894621932177
74,5.463012814211208
75,5.1446878172159165
76,4.523645320415909
77,3.859654070652844
78,3.4956967620324635
79,3.6692132765078824
80,4.0316274121794855
81,3.9489220458416443
82,4.118451142173307
83,4.391340195212687
84,4.839713765081705
85,5.403174247922483
86,
87,4.734077559265914
88,4.316048502520159
89,4.374639494302181
90,4.379321536156309
91,4.903208478907301
92,
93,5.121014153232579
94,4.847765310575278
95,4.623075169598665
96,4.23205256674659
97,3.6536474246636392
98,3.448054025268023
99,3.4486138477192565
100,3.0119029434973354
101,2.5765300315526813
102,2.505868520164327
103,2.474855262943592
104,
105,2.5560993253166204
106,3.0835539100433174
107,3.6659068897803815
108,3.5756084211997035
109,3.676357195330998
110,3.382431909256108
111,3.2332570949501154
112,3.293460239126726
113,2.809822128013103
114,2.1482757140077995
115,1.7950015689070795
116,2.0545832031584763
117,2.396016567031173
118,2.828792335561283
119,2.497527316627869
120,1.6006222881427419
121,0.9798911787268143
122,1.3496875191714994
123,2.306022085372437
124,2.8762592435944976
125,2.96451656100276
126,2.9009590240017116
127,2.6961899247836967
128,2.5207764736143248
129,2.5430079914667805
130,2.361688669489387
131,1.877816301105043
132,2.377369662823427
133,3.31582233495544
134,3.9988152776879176
135,4.164075822251045
136,zElArv6m
137,4.089868378341891
138,3.6742762079788087
139,3.541821878515971
140,
141,3.751679939876112
142,4.167140739596082
143,4.133350238446581
144,3.980166144345597
145,3.777716250139187
146,
147,3.785667333275048
148,4.164728539361425
149,4.6138554990338125
150,4.536079800224067
151,4.5643766369642345
152,4.471419112320413
153,
154,
155,3.6719235213332007
156,3.735881091054227
157,
158,5.20894211022764
159,5.4990918920195755
160,5.194471073214459
161,4.814389258255002
162,4.143886531376154
163,4.618681151762774
164,4.882477041247156
165,5.492791442687311
166,5.560817762992347
167,5.796836502853437
168,6.26658568311137
169,6.484793787781858
170,6.8176650174324545
171,6.30375409504074
172,5.841221036744364
173,5.106468169818374
174,4.395060084507998
175,4.0223909816725065
176,3.8820629296525864
177,3.8700430402579062
178,4.230493042075867
179,4.444748248246393
180,4.4329130705455135
181,4.301620776334785
182,4.054367401113752
183,4.594867488691137
184,5.338239647107811
185,5.927913438959904
186,5.438532326127373
187,4.566891170865734
188,3.909367999107319
189,
190,3.62423988846374
191,
192,3.8202188779296264
193,4.199458618941349
194,4.562915910425704
195,4.79698268087811
196,4.358063767826538
197,3.4676449862558414
198,3.4157245750232974
199,3.7467190607467353
200,zElArv6m
201,4.205028569344902
202,3.9708953488304903
203,3.530540575766834
204,2.980100260896628
205,2.552995123534666
206,1.81196421267157
207,zElArv6m
